CLDR,Meaning,Note,Unicode
woman-and-man-holding-hands-light-skin-tone,[],['\nThe Woman and Man Holding Hands: Light Skin Tone emoji is a modifier sequence combining 👫 Woman and Man Holding Hands and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nWoman and Man Holding Hands: Light Skin Tone was added to Emoji 12.0 in 2019.\n']
woman-and-man-holding-hands-medium-dark-skin-tone-dark-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Dark Skin Tone, Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Dark Skin Tone, Dark Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-dark-skin-tone-light-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Dark Skin Tone, Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Dark Skin Tone, Light Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-dark-skin-tone-medium-light-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Dark Skin Tone, Medium-Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Dark Skin Tone, Medium-Light Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-dark-skin-tone-medium-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Dark Skin Tone, Medium Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Dark Skin Tone, Medium Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-dark-skin-tone,[],['\nThe Woman and Man Holding Hands: Medium-Dark Skin Tone emoji is a modifier sequence combining 👫 Woman and Man Holding Hands and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nWoman and Man Holding Hands: Medium-Dark Skin Tone was added to Emoji 12.0 in 2019.\n']
woman-and-man-holding-hands-medium-light-skin-tone-dark-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Light Skin Tone, Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Light Skin Tone, Dark Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-light-skin-tone-light-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Light Skin Tone, Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Light Skin Tone, Light Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-light-skin-tone-medium-dark-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Light Skin Tone, Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Light Skin Tone, Medium-Dark Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-light-skin-tone-medium-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium-Light Skin Tone, Medium Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium-Light Skin Tone, Medium Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-light-skin-tone,[],['\nThe Woman and Man Holding Hands: Medium-Light Skin Tone emoji is a modifier sequence combining 👫 Woman and Man Holding Hands and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nWoman and Man Holding Hands: Medium-Light Skin Tone was added to Emoji 12.0 in 2019.\n']
woman-and-man-holding-hands-medium-skin-tone-dark-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium Skin Tone, Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏽 Medium Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium Skin Tone, Dark Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-skin-tone-light-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium Skin Tone, Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏽 Medium Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium Skin Tone, Light Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-skin-tone-medium-dark-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium Skin Tone, Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏽 Medium Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium Skin Tone, Medium-Dark Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-skin-tone-medium-light-skin-tone,[],"['\nThe Woman and Man Holding Hands: Medium Skin Tone, Medium-Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏽 Medium Skin Tone, \u200d Zero Width Joiner, 🤝 Handshake, 👨 Man and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n']","['\nWoman and Man Holding Hands: Medium Skin Tone, Medium-Light Skin Tone was added to Emoji 12.0 in 2019.\n']"
woman-and-man-holding-hands-medium-skin-tone,[],['\nThe Woman and Man Holding Hands: Medium Skin Tone emoji is a modifier sequence combining 👫 Woman and Man Holding Hands and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nWoman and Man Holding Hands: Medium Skin Tone was added to Emoji 12.0 in 2019.\n']
woman-and-man-holding-hands,"['A woman and man\xa0holding hands, most likely due to being in a relationship.']",[],['\nWoman and Man Holding Hands was approved as part of Unicode 6.0 in 2010 under the name “Man and Woman Holding Hands” and added to Emoji 1.0 in 2015.\n']
woman-artist-dark-skin-tone,[],"['\nThe Woman Artist: Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Artist: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-artist-light-skin-tone,[],"['\nThe Woman Artist: Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Artist: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-artist-medium-dark-skin-tone,[],"['\nThe Woman Artist: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Artist: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-artist-medium-light-skin-tone,[],"['\nThe Woman Artist: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Artist: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-artist-medium-skin-tone,[],"['\nThe Woman Artist: Medium Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Artist: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-artist,[],"['\nThe Woman Artist emoji is a ZWJ sequence combining 👩 Woman, \u200d Zero Width Joiner and 🎨 Artist Palette.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Artist was added to Emoji 4.0 in 2016.\n']
woman-astronaut-dark-skin-tone,[],"['\nThe Woman Astronaut: Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Astronaut: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-astronaut-light-skin-tone,[],"['\nThe Woman Astronaut: Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Astronaut: Light Skin Tone was added to Emoji 4.0 in 2016.\n\n']
woman-astronaut-medium-dark-skin-tone,[],"['\nThe Woman Astronaut: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Astronaut: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-astronaut-medium-light-skin-tone,[],"['\nThe Woman Astronaut: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Astronaut: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-astronaut-medium-skin-tone,[],"['\nThe Woman Astronaut: Medium Skin Tone emoji is a ZWJ sequence combining 👩 Woman, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Astronaut: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-astronaut,['A female\xa0astronaut or cosmonaut shown wearing a\xa0space suit and helmet.'],"['\nThe Woman Astronaut emoji is a ZWJ sequence combining 👩 Woman, \u200d Zero Width Joiner and 🚀 Rocket.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Astronaut was added to Emoji 4.0 in 2016.\n']
woman-bald,"['A woman with a bald head. Can be used to represent a bald woman or a woman with a shaved head. May also be used to represent a woman experiencing hair loss from chemotherapy, alopecia, or other medical treatments or conditions.\xa0', 'Variants include 🧑\u200d🦲 Bald Person and 👨\u200d🦲 Bald Man.']","['\nThe Woman: Bald emoji is a ZWJ sequence combining 👩 Woman, \u200d Zero Width Joiner and 🦲 Bald.\nThese display as a single emoji on supported platforms.\n']",['\nWoman: Bald was added to Emoji 11.0 in 2018.\n']
woman-beard,['A woman shown with long hair and a beard.'],"['\nThe Woman: Beard emoji is a ZWJ sequence combining 🧔 Person: Beard, \u200d Zero Width Joiner and ♀️ Female Sign.\nThese display as a single emoji on supported platforms.\n']",['\nWoman: Beard was added to Emoji 13.1 in 2020.\n']
woman-biking-dark-skin-tone,[],"['\nThe Woman Biking: Dark Skin Tone emoji is a ZWJ sequence combining 🚴 Person Biking, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♀️ Female Sign.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Biking: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-biking-light-skin-tone,[],"['\nThe Woman Biking: Light Skin Tone emoji is a ZWJ sequence combining 🚴 Person Biking, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♀️ Female Sign.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Biking: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
woman-biking-medium-dark-skin-tone,[],"['\nThe Woman Biking: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🚴 Person Biking, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♀️ Female Sign.\nThese display as a single emoji on supported platforms.\n']",['\nWoman Biking: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
